"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2014020347","2","home",TRUE,"REG","Jack Capuano",3,28,16,10,4,0,46.8,13,7
"2014020324","2","home",TRUE,"OT","Jack Capuano",3,35,55,11,3,2,46,16,17
"2014020379","2","away",TRUE,"REG","Jack Capuano",2,25,19,6,3,1,44.8,6,3
"2014020859","2","home",TRUE,"REG","Jack Capuano",5,40,35,6,5,1,43.3,10,28
"2014020849","2","away",TRUE,"REG","Jack Capuano",4,30,37,4,2,1,45.1,7,15
"2014020564","2","away",TRUE,"REG","Jack Capuano",2,24,13,6,2,1,56.1,7,8
"2014020397","2","home",FALSE,"REG","Jack Capuano",4,27,33,12,5,2,50.6,18,11
"2014020023","2","home",TRUE,"REG","Jack Capuano",4,31,25,17,5,2,55.4,7,9
"2014020093","2","away",TRUE,"REG","Jack Capuano",3,38,25,2,1,0,40,7,10
"2014020826","2","home",TRUE,"REG","Jack Capuano",6,46,36,15,4,0,46.2,21,14
"2014020991","2","home",FALSE,"REG","Jack Capuano",1,30,31,8,4,0,58.2,28,14
"2014021103","2","home",FALSE,"REG","Jack Capuano",2,27,42,4,2,1,41.2,15,10
"2014020775","2","away",FALSE,"REG","Jack Capuano",1,40,31,11,4,1,35.9,17,7
"2014020125","2","home",FALSE,"REG","Jack Capuano",3,21,22,23,5,2,56.9,16,9
"2014020662","2","away",FALSE,"REG","Jack Capuano",4,31,42,13,3,1,44.8,20,2
"2014020895","2","home",TRUE,"REG","Jack Capuano",5,39,54,8,1,0,51.7,20,21
"2014020531","2","home",TRUE,"OT","Jack Capuano",4,39,45,8,7,2,54.1,17,24
"2014021130","2","home",TRUE,"REG","Jack Capuano",5,27,18,8,4,3,56.4,19,17
"2014020593","2","away",FALSE,"REG","Jack Capuano",2,23,36,4,3,0,63.6,9,3
"2014020186","2","away",TRUE,"OT","Jack Capuano",3,36,33,4,3,2,45.2,13,9
"2014020746","2","home",FALSE,"REG","Jack Capuano",2,34,35,4,3,1,55,17,18
"2015021141","2","home",TRUE,"SO","Jack Capuano",1,31,17,2,3,1,45.5,15,8
"2015020961","2","away",TRUE,"OT","Jack Capuano",4,27,15,8,4,0,49.2,14,3
"2016020372","2","home",FALSE,"OT","Jack Capuano",3,35,20,17,1,0,46,10,2
"2016020600","2","away",FALSE,"SO","Jack Capuano",1,28,37,4,4,0,51.6,4,4
"2015021033","2","home",TRUE,"REG","Jack Capuano",3,28,24,11,2,0,47.2,19,5
"2015020798","2","away",TRUE,"SO","Jack Capuano",2,46,15,2,2,1,54.1,3,2
"2015020789","2","home",TRUE,"REG","Jack Capuano",8,31,21,18,4,2,52.3,11,5
"2016020695","2","home",TRUE,"REG","Doug Weight",4,36,28,4,5,3,43.4,25,10
"2017021210","2","away",FALSE,"REG","Doug Weight",3,30,13,4,2,1,57.1,0,9
"2016020396","2","home",TRUE,"REG","Jack Capuano",3,27,23,0,3,1,44.2,15,10
"2016020805","2","away",TRUE,"REG","Doug Weight",3,30,22,8,2,1,58.7,4,4
"2017020670","2","away",TRUE,"REG","Doug Weight",7,37,25,6,2,0,46.9,14,6
"2017020518","2","home",FALSE,"REG","Doug Weight",3,37,26,2,3,2,48.4,16,9
"2015021040","2","away",FALSE,"SO","Jack Capuano",1,26,46,8,3,1,42.4,4,4
"2016020656","2","away",TRUE,"REG","Jack Capuano",4,27,26,4,4,0,47.1,11,13
"2015020913","2","away",TRUE,"OT","Jack Capuano",2,34,15,19,2,0,45.8,13,4
"2017020835","2","home",TRUE,"OT","Doug Weight",7,29,26,9,7,4,45,21,12
"2017020978","2","away",FALSE,"REG","Doug Weight",1,28,39,4,2,0,42.5,11,10
"2015020213","2","home",FALSE,"REG","Jack Capuano",1,37,25,8,7,1,50,8,8
"2015020761","2","away",FALSE,"REG","Jack Capuano",2,26,25,4,2,0,52.9,5,4
